"question","A","B","C","D","answer","subject"
"This question refers to the following information.
This ruler of Syria made me spend many years as commander of his army,
Every land to which I turned
I overcame.
I destroyed its green fields and its wells,
I captured its cattle, I took captive its inhabitants, I deprived them of their provisions,
and I slew [many] people…by my sword, my bow, my marchings, and my good devices.
Thus my excellence was in his heart; he loved me and he knew my valor;
…he set me at the head of his sons, when he saw the success of my handiwork.
There came a champion of Syria
to defy me in my tent;
a bold man without equal, for he had vanquished all his rivals.
He said, ""Let Sanehat fight with me.""
He thought to overcome me; he designed to take my cattle, thus being counseled by his tribe.
The Tale of Sanehat, Egyptian poem written during the Middle Kingdom, ca.1800 B.C.E.
Which of the following best describes the most common political significance of conflict between states to the rulers of early civilizations?","Victories against outsiders granted legitimacy to leaders of states.","Victories against outsiders provided slaves whose labor sustained agricultural systems.","Victories against outsiders demonstrated the power of divinities over other gods.","Victories against outsiders allowed leaders of states to incorporate the elites of the subjugated into the conquering power.","A","high_school_world_history"
"This question refers to the following information.
Both authors below were speaking of the French Revolution.
It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way—in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.
There were a king with a large jaw and a queen with a plain face, on the throne of England; there were a king with a large jaw and a queen with a fair face, on the throne of France. In both countries it was clearer than crystal . . . that things in general were settled for ever.
—A Tale of Two Cities, by Charles Dickens
Bliss was it in that dawn to be alive. But to be young was very heaven.
—The Prelude, by William Wordsworth
Most revolutions produce a strong leading figure; the French Revolution allowed which of the following to assume great power?","King Louis XVI","Robespierre","Jean Lafitte","Lafayette","B","high_school_world_history"
"A disadvantage of institutional care is that the staff frequently teach older residents to be","Rude","Dependent","Independent","Selfish","B","human_aging"
"Information coming into our cognitive system is thought to first enter a","Sensory memory","Perceptual processor","Working memory","Meta-memory","A","human_aging"
"The biggest and most dangerous changes in the cardiovascular system take place in the","Heart","Blood vessels","Red blood cells","Plasma","B","human_aging"
"Sociobiologists believe that there are more males than females with paraphilias because:","paraphilias guarantee survival of the species","evolutionary selection has favored the development of males who respond to novel sexual stimuli","of left brain/right brain differences between the genders","male brains are better developed than are female brains","B","human_sexuality"
"Mike and Carol have been married for 5 years. Recently Mike has found that although he wants to have sex with Carol he has trouble getting aroused. However he does not have trouble getting aroused when he sees his secretary at work. Which of the following describe(s) Mike's dysfunction?","Mike suffers from a global dysfunction.","Mike suffers from erectile dysfunction.","Mike suffers from lubrication inhibition.","Mike must be having an affair with his secretary.","B","human_sexuality"
"Which of the following restrictions existed in at least one culture? No sex","for a period of time following childbirth","during menstruation","between parents and children","all of the above","D","human_sexuality"
"What is a 'treaty' according to the Vienna Convention on the Law of Treaties (VCLT)?","Treaties are all agreements concluded between States, international organizations and non-State entities (e.g. corporations)","Treaties are agreements concluded between States in written form and governed by international law","Treaties are both the written and oral agreements between States","Treaties are agreements concluded between States in written form governed either by international or domestic law","B","international_law"
"What is the difference between conciliation and mediation?","Conciliation is the continuation of mediation with the difference that conciliation produces a binding result, while mediation not","Conciliation is conducted exclusively by representatives of the UN Secretary-General, while mediation may also be conducted by third States' officials","Mediation is usually conducted by a person appointed with the consent of the parties, while conciliation involves a commission, which proceeds to an impartial examination of the dispute and proposes settlement terms","Conciliation is a method of dispute settlement pursued only by virtue of a treaty, while mediation may also be on an ad hoc basis","C","international_law"
"What is functional (ratione materiae) immunity?","Functional immunity covers the person but not the act","Functional immunity covers the act and incidentally also the person committing the act","Functional immunity covers the State and incidentally also the act","Functional immunity covers both private and public acts as long as they are sanctioned by the State","B","international_law"
"Which statement best describes Tom Regan's 'sentimental anthropomorphicism' in support of animals rights?","Animals have inherent worth which entitles them to the absolute right to live their lives with respect and autonomy.","The social contract includes animals and their welfare.","The suffering of a few animals may in principle be justified by the pleasure of or benefit to the many.","Cruelty to animals is a reflection of the barbarity of a society.","A","jurisprudence"
"Which of the following apparent correlatives contradicts Hohfeld's scheme of 'jural relations'?","Right and duty.","Privilege and no-right.","Power and liability.","Immunity and disability.","C","jurisprudence"
"Which statement below is the least consistent with the argument that judges in an unjust legal system ought to resign?","Judges are under a duty to act justly.","Since they also prop up the unjust system, lawyers should also resign.","If a moral judge resigns, he or she may be replaced by a less moral judge.","Judges do not make the law, hence they cannot be held responsible for applying unjust legislation.","D","jurisprudence"
"The false sign fallacy is","arguing that what is true of part of an object is necessarily true of the entire object","arguing that two things are similar enough that what is true of one is true of the other","arguing that since something is inexpensive it is necessarily of low quality","reasoning by sign when there is really not a direct relationship between the alleged sign and the subject of the argument","D","logical_fallacies"
"Another name for the fallacy of complex question is","Fallacy of interrogation","Compound proposition","Appeal to ignorance","Extension","A","logical_fallacies"
"Which of the following fallacies happens when someone concludes that someone couldn't have done something bad because he or she has good qualities?","Laudatory personality","Guilt by association","Reprehensible personality","Circular reasoning","A","logical_fallacies"
"What would you do in PCA to get the same projection as SVD?","Transform data to zero mean","Transform data to zero median","Not possible","None of these","A","machine_learning"
"Adding more basis functions in a linear model, pick the most probably option:","Decreases model bias","Decreases estimation bias","Decreases variance","Doesn’t affect bias and variance","A","machine_learning"
"Given a Neural Net with N input nodes, no hidden layers, one output node, with Entropy Loss and Sigmoid Activation Functions, which of the following algorithms (with the proper hyper-parameters and initialization) can be used to find the global optimum?","Stochastic Gradient Descent","Mini-Batch Gradient Descent","Batch Gradient Descent","All of the above","D","machine_learning"
"Which one of the following is not one of Drucker's five guiding principles of management?","Making people's strengths effective and their weaknesses irrelevant.","Enhancing the ability of people to contribute.","To operate the organisation's status system.","Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.","C","management"
"Which feature does not form one of Fayol's 14 principles of management?","Esprit de corps","Initiative","Order","Individualism","D","management"
"What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?","Product development","Market penetration","Diversification","Market development","B","management"
" In order for exchange to occur:","A complex societal system must be involved.","Organized marketing activities must also occur.","A profit-oriented organization must be involved.","Each party must have something of value to the other party.","D","marketing"
"A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called:","Search marketing.","Internet advertising.","Permission-based email marketing.","Social web marketing.","C","marketing"
"The family life cycle:","Is a way to apply psychographic segmentation.","Refers to the process of family formation and dissolution.","Provides insights into the relationships among age, occupation, income, and housing.","Is composed of the 11 stages of personal growth from infancy to retirement.","B","marketing"
"Which of the following karyotypes is not compatible with survival to birth?","47,XY,+13","47,XX,+18","47,XY,+21","45,Y","D","medical_genetics"
"In a Robertsonian translocation fusion occurs at the:","telomeres.","centromeres.","histones.","ends of the long arms.","B","medical_genetics"
"Mapping of human chromosomes:","has been restricted to the sex chromosomes because of small family sizes","proceeded much more successfully as large numbers of DNA markers became available.","has determined that the number of linkage groups is about twice the number of chromosomes","has demonstrated that almost all of the DNA is involved in coding for genes","B","medical_genetics"
"What is the name of the StarKist tuna mascot?","Charlie","Sam","Al","Morris","A","miscellaneous"
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?","1","2","3","4","C","miscellaneous"
"With which of the following statements would both Thomas Hobbes and John Locke most probably have agreed?","Government authority is created as the result of a social contract.","Government must enforce religious law to prevent moral decay.","Government must enforce the majority's will regardless of the wishes of the minority.","Government must bend to the will of the educated minority.","A","miscellaneous"
" Kass worries that cloned individuals:","will be seen as curiosities.","will be scrutinized in relation to the person they are clones of.","both of the above","none of the above","C","moral_disputes"
" In his definition of terrorism, Valls defines ""violence"" as","including only bodily harm to persons.","including bodily harm to persons and the destruction of property.","including only the destruction of property.","none of the above","B","moral_disputes"
" What does Marquis think is the main reason why it is wrong to kill a fetus?","The fetus can feel pain.","Abortion will harm the woman.","Killing the fetus would deprive it of a valuable future.","all of the above","C","moral_disputes"
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I laugh at the student who makes a joke. Scenario 2 | I watched the small squirrels from a distance and threw them nuts.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong","D","moral_scenarios"
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I am sneaking in narcotic drugs into a prison and selling them to prisoners. Scenario 2 | I told my son to turn on the lawnmower before clearing the blades.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong","A","moral_scenarios"
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pushed a man out of the way of a train at the train station. Scenario 2 | I tossed my sunroof toward my daughter since she asked to go for a drive.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong","C","moral_scenarios"
"What characteristic is not representative of a type IIb muscle fibre?
","Low oxidative capacity","High fatigue resistance","High motor unit strength","Fast contractile speed","B","nutrition"
"The measurement of a specific biochemical status index for a micronutrient such as vitamin C is most likely to be useful in practice to estimate:
","The presence or risk of a clinical deficiency, such as clinical scurvy.","The overall quality of a person's diet","The tissue levels, or body status, of that nutrient.","Overall health and freedom from disease.","C","nutrition"
"According to the recommendations for the nutritional management of patients with diabetes, the consumption of saturated fat should be:
","<10% of total daily energy","<12%","<15%","<16%","A","nutrition"
"The view that we consist of two distinct substances (body and mind) and that these two interact is known as _____.","functionalism","identity theory","substance dualism","materialism","C","philosophy"
"The theory that says mental states are nothing but brain states is known as _____.","brain theory","epiphenominalism","identity theory","logical behaviorism","C","philosophy"
"Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of:","religion.","physics.","psychology.","art.","C","philosophy"
"Which of the following refers to the systematic study of the earth's layers?","primatology","stratigraphy","weathering","archaeology","B","prehistory"
"The royal graves of the Shang Dynasty consisted of enormous cruciform-shaped tombs, where the deceased kings were buried with:","jade, bronze, and ceramic artifacts.","chariots and horses.","the headless bodies of humans who had been sacrificed.","all of the above.","D","prehistory"
"Which of the following is an example of parietal art?","beadwork","inscribed bone","ivory statues","cave paintings","D","prehistory"
"The city of Cobb has two trust funds for the benefit of the city's library trust fund A and trust fund B. Only the earnings from trust fund A can be expended and both the principal and interest from trust fund B can be expended. How should the city of Cobb report each trust fund? Trust fund A Trust fund B","Permanent Permanent","Permanent Special revenue","Special revenue Permanent","Special revenue Special revenue","B","professional_accounting"
"In searching for unrecorded liabilities an auditor most likely would examine the","Cutoff bank statement for deposits recorded in the books but not by the bank.","Details of accounts receivable confirmations that are classified as ""exceptions"".","Files of purchase requisitions for items ordered just before the year end.","Receiving reports for items received before year end but not yet recorded.","D","professional_accounting"
"Which of the following statements regarding an individual’s suspended passive activity losses is correct?","$3,000 of suspended losses can be utilized each year against portfolio income.","Suspended losses can be carried forward, but not back, until utilized.","Suspended losses must be carried back three years and forward seven years.","A maximum of 50% of the suspended losses can be used each year when an election is made to forgo the carryback period.","B","professional_accounting"
"A police officer was employed on a city's police force for 10 years. When the officer accepted the job, the city's employee benefit plan provided a death benefit to the spouse of any employee who died as a result of any job-related injury. Last year, the city amended its employee benefit plan to deny its death benefit in cases where the death ""was caused by the employee's refusal to accept, for any reason other than its excessive risk to life or health, reasonably available medical care prescribed by a physician."" After this amendment took effect, the officer was shot while on duty. Because of a sincerely held religious belief, the officer refused to allow a prescribed blood transfusion and, as a result, died from loss of blood. When the officer's spouse applied for the death benefit, the city denied the application on the basis of the amendment to the employee benefit plan. The officer's spouse has challenged the amendment, claiming that, as applied to the officer, it violated the officer's constitutional right to the free exercise of religion. Is the court likely to find the amendment to the employee benefit plan constitutional as applied to the officer?","No, because it effectively discriminates against a religious practice.","No, because it violates the vested contractual rights of city employees who were hired before the amendment took effect.","Yes, because it does not single out religious reasons for the denial of benefits and is a reasonable limitation on the award of such benefits.","Yes, because it imposes a condition only on the award of a government benefit and does not impose a penalty on an individual's conduct.","C","professional_law"
"The President and sole stockholder of a small business negotiated to sell the business to an individual investor. The parties met and signed a ""Letter Agreement"", which set forth the price, down payment amount, financing terms, the assets to be included, and a host of other pertinent details. The final closing date was not stated, but the purchasers left a down payment of $20,000 with the seller. The letter stated that the terms comprised their essential agreement, but that a formal document would be drafted by the parties' attorneys. Before that happened, the seller returned the check and refused to perform. The investor brought an equity action for specific performance to compel the sale. The equity court ruled that there was a complete and binding contract that must be specifically performed. Will the appellate court likely affirm the lower court's decision?","No, because closing date was left out and the attorneys were supposed to compose the final contract with all of the remaining details put in.","No, because this type of letter is basically a ""gentlemen's agreement"" that is not intended to be legally binding.","Yes, because a letter of intent is legally binding if it sets forth the price, describes the business and is signed by both parties.","Yes, because where the letter contains all of the essential terms required for a contract, it will be enforced as a contract.","D","professional_law"
"A supermarket had just reopened after a six-month renovation period. The renovations included the repair, replastering, and repainting of the entire ceiling and walls by the painting company. The day following the reopening of the supermarket, the store's manager noticed small fragments of plaster on the floor, which appeared to have fallen from a part of the ceiling about 10-square-feet in area. The manager immediately posted signs in that area that read: ""Caution: Falling Plaster. "" In addition, the manager promptly called the painting company and requested a repairman to attend to the problem. That afternoon, a shopper was shopping in the supermarket and wanted to purchase some canned goods in the posted area. Moving quickly, the shopper reached for the desired items. At that very moment, a section of the ceiling fell and struck the shopper, injuring her very seriously. If the shopper asserts a claim against the supermarket, she probably will","prevail, because the supermarket failed to take adequate precaution to ensure the safety of its patrons against such an unreasonable risk of harm.","prevail, because the supermarket is vicariously liable for the negligence of its independent contractor in the performance of a non-delegable duty.","not prevail, because the injury was the fault of the painting company.","not prevail, because the supermarket posted signs warning customers of the risk of harm.","A","professional_law"
"A 43-year-old female presents to the office with a 2-month history of heat intolerance, weight loss, tachycardia, and diffuse goiter. Examination reveals exophthalmos, inflammation of the periorbital tissue and conjunctivae, a heart rate of 140/min, and warm, velvety skin. An MRI of the head and orbits will most likely reveal","calcification of the orbit","diffuse enlargement of the rectus muscles","dilated ventricles","lymphoma","B","professional_medicine"
"A 15-year-old girl is brought to the physician 3 months after she had a blood pressure of 150/95 mm Hg at a routine examination prior to participation in school sports. She is asymptomatic and has no history of serious illness. Twelve months ago, she was diagnosed with a urinary tract infection and treated with oral trimethoprim-sulfamethoxazole. She currently takes no medications. Subsequent blood pressure measurements on three separate occasions since the last visit have been: 155/94 mm Hg, 145/90 mm Hg, and 150/92 mm Hg. She is at the 50th percentile for height and 95th percentile for weight. Her blood pressure today is 150/90 mm Hg confirmed by a second measurement, pulse is 80/min, and respirations are 12/min. Examination shows no other abnormalities. Her hematocrit is 40%. Urinalysis is within normal limits. Cardiac and renal ultrasonography shows no abnormalities. Which of the following is the most appropriate next step in management?","Exercise and weight reduction program","Measurement of urine catecholamine concentrations","Measurement of urine corticosteroid concentrations","Captopril therapy","A","professional_medicine"
"A 55-year-old woman with small cell carcinoma of the lung is admitted to the hospital to undergo chemotherapy. Six days after treatment is started, she develops a temperature of 38°C (100.4°F). Physical examination shows no other abnormalities. Laboratory studies show a leukocyte count of 100/mm3 (5% segmented neutrophils and 95% lymphocytes). Which of the following is the most appropriate pharmacotherapy to increase this patient's leukocyte count?","Darbepoetin","Dexamethasone","Filgrastim","Interferon alfa","C","professional_medicine"
"In a skewed smooth distribution with a tail exended to the left, the statistic with the highest value is the","standard deviation","mode","median","mean","B","professional_psychology"
"A colleague, a licensed psychologist, confides in you that he has just ended a sexual relationship with one of his clients. As he describes the client, you realize that she is someone you referred to him about 18 months ago. As an ethical psychologist, you should:","file a complaint against the colleague immediately with the Ethics Committee.","file a complaint against the colleague with the Ethics Committee after informing him that you intend to do so.","discuss the matter further with the colleague to see what course of action he plans to take.","contact the client and discuss the matter with her.","C","professional_psychology"
"Carol and Jim are experiencing marital difficulties. They have two school-aged children, a boy and a gid. According to meta-analysis of research on the relationship between marital discord and child behavior problems, it would be expected that","neither child is more likely to manifest an immediate behavior problem than are children of stable marriages","the girl is more likely than the boy to manifest an immediate behavior problem","the boy is more likely than the girl to manifest an immediate behavior problem","both children ore equally likely to manifest an immediate behavior problem","C","professional_psychology"
"According to Russian philosopher Mikhail Bakhtin, in order to create ________, or a well-informed public, all communication about an issue must be ________, or take the form of a dialogue.","intelligentsia, democratic","democracy, dialogic","democracy, logical","democracy, bipartisan","B","public_relations"
"Which outcome, from the evaluation phase of public relations planning, documents the impact a program had on its stakeholders?","the quality of the messages and activities","the number who change attitudes and opinions","the number who responded to communications","the number of messages and activities implemented","B","public_relations"
"What is the primary reason that you, as a public relations manager, should insist on prioritizing and scheduling activities?","to help the department stay focused on its strategic plan","to ensure that projects that are important to the CEO always have first priority","to ensure that the department's events and public relations activities are not neglected","to make it easier for other departments to understand the responsibilities of the public relations department","A","public_relations"
"In what ways might the effects of chemical weapons affect the decision to deploy them against a target?","Chemical weapons are a highly complicated means to conduct an assault. The unpredictability of chemicals (the degree of evaporation, stability and concentration) frequently proves to be incommensurate with political objectives.","Analysts are concerned with the potential ease of chemical manufacturing. Weapons could be quickly and effectively deployed being light, concealable and rapidly deployed. Most weapons can be delivered in a line source for example a crop duster or administered through an aerosol. Dispersal in areas of poor ventilation or closed venues where people are in close proximity could have potentially catastrophic effects.","Chemical weapons have the potential to cause mass casualties. Moderate exposure to chemicals produces serious side effects and would generate serious casualties if weaponized.","Wind, temperature and terrain can affect the lethality and persistence of an agent and is dependent on the extensity and degree of contact with the target.","D","security_studies"
"Which of the following is a common criticism of the human security concept?","Human security is neo-colonial.","Human security promotes global capitalism.","Human security is too broad.","All of these options.","D","security_studies"
"Which of the following is not a common criticism of Securitization?","A loose and broad conceptualization of security can lead to vagueness and a lack of conceptual and analytical coherence.","When the securitizing actor is not the state, it can be unclear what would constitute an extraordinary measure.","The model relies on a definition of distinctive political and security realms, which are not always clearly defined.","The theory of securitization lacks coherence in terms of its employment as a tool for analytical studies in security.","D","security_studies"
"Chodorow (1978) argued that gender socialization occurred through:","both boys and girls being closely attached to their mothers, but then boys breaking away","girls being attached to their mothers but then breaking away","boys being attached to their fathers and girls to their mothers","both boys and girls being closely attached to their fathers, but girls breaking away","A","sociology"
"Socialization is:","the formation of an attachment bond between an infant and its carer","a tendency of social theorists to explain everything in terms of social causes","the process of becoming part of a society by learning its norms and values","the historical process by which societies change from traditional to modern","C","sociology"
"The concept of political culture refers to the","way that cultural products, such as novels or paintings, reflect the political ideologies of their creators","basic beliefs and orientation toward politics that are shared widely by the members of a culture","political beliefs and attitudes shared by people in public offices","ideological biases of the mass media","B","sociology"
"Who was the first American president to visit communist China?","Richard Nixon","George H. W. Bush","Jimmy Carter","Ronald Reagan","A","us_foreign_policy"
"What was established at Bretton Woods in 1994 to stabilize the global economy?","The International Monetary Fund (IMF)","The US Dollar as the world's reserve currency","The General Agreement on Tariffs and Trade (GATT)","All of the above","D","us_foreign_policy"
"What were the primary institutions of the liberal international economic order?
I. GATT
II. IMF
III. World Bank
IV. NATO","IV only","II and III","I, II, and III","I, II, III, and IV","C","us_foreign_policy"
"Which of the following drugs inhibit herpes viruses?","Amantadine","Acyclovir","Oseltamivir","Azidothymidine","D","virology"
"The noroviruses typically cause which of the following?","Diarrhoea","Rash","Projectile vomiting and diarrhoea","Disease of the central nervous system","C","virology"
"The characteristic of a generalized epidemic is:","High rates in drug users","High rates in MSM","High rates in pregnant women","High rate in STD clinic attendees","C","virology"
" The kshatriyas is the caste name assigned to which group?","Priests","Servants","Rulers, warriors","Merchants","C","world_religions"
"According to the Sumerian King List, where does kingship come from?","Through initiation into the mystery cults","By military victories","Direct lineage of ancestors","Descends from heaven","D","world_religions"
" Which Confucian philosopher is described as a mystic due to his focus on qi (or ch'i)?","Dao","Xunzi","Mencius","Confucius","C","world_religions"
